,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
1,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
2,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
3,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
4,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
5,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
6,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
7,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
8,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
9,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
10,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
11,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
12,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
13,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
14,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
15,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
16,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
17,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
18,"100 Lives Foundation, Inc.",45-60-79,364808338,NFP,WASHINGTON,DC
19,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,ATLANTA,GA
20,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
21,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
22,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
23,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
24,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
25,"105TH FLOOR HEROES FUND, INC.",21-26-78,020560593,NFP,COLD SPRING HARBOR,NY
26,1068 Franklin Avenue Housing Development Fund Corporation,45-51-94,208317595,NFP,BRONX,NY
27,"106 RQW FRG PO, Inc.",45-62-68,811070262,NFP,WESTHAMPTON,NY
28,106TH STREET OLDTIMERS INC,06-27-32,133990469,NFP,BRONX,NY
29,1070 Anderson Housing Development Fund Corporation,41-80-86,611559082,NFP,NEW YORK,NY
30,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
31,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
32,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
33,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
34,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
35,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
36,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
37,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
38,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
39,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
40,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
41,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
42,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
43,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
44,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
